Message = Sign 'AlertSystemClient.exe' with a strong name key. | TypeOfError = CriticalError | CertainityLevel = 95
Message = Because the behavior of 'DateTime.ToString(string)' could vary based on the current user's locale settings, replace this call in 'Client.GetTimestamp(DateTime)' with a call to 'DateTime.ToString(string, IFormatProvider)'. If the result of 'DateTime.ToString(string, IFormatProvider)' will be displayed to the user, specify 'CultureInfo.CurrentCulture' as the 'IFormatProvider' parameter. Otherwise, if the result will be stored and accessed by software, such as when it is persisted to disk or to a database, specify 'CultureInfo.InvariantCulture'. | TypeOfError = Error | CertainityLevel = 95
Message = Parameter 'args' of 'Client.Main(string[])' is never used. Remove the parameter or use it in the method body. | TypeOfError = Warning | CertainityLevel = 95

Error Message Parameter = # Issues with severity Blocker | Counts = 34
Error Message Parameter = # Issues with severity Critical | Counts = 0
Error Message Parameter = # Issues with severity High | Counts = 0
Error Message Parameter = # Issues with severity Medium | Counts = 0
Error Message Parameter = # Issues with severity Low | Counts = 0
Error Message Parameter = # Blocker/Critical/High Issues | Counts = 8
Error Message Parameter = # Issues | Counts = 15
Error Message Parameter = # Suppressed Issues | Counts = 11
Error Message Parameter = # Rules | Counts = 8
Error Message Parameter = # Rules Violated | Counts = 34
Error Message Parameter = # Critical Rules Violated | Counts = 0
Error Message Parameter = # Quality Gates | Counts = 152
Error Message Parameter = # Quality Gates Warn | Counts = 15
Error Message Parameter = # Quality Gates Fail | Counts = 1
Error Message Parameter = Percentage Debt (Metric) | Counts = 11
Error Message Parameter = Debt (Metric) | Counts = 2
Error Message Parameter = New Debt since Baseline (Metric) | Counts = 4
Error Message Parameter = Annual Interest (Metric) | Counts = 30.15
Error Message Parameter = New Annual Interest since Baseline (Metric) | Counts = 0.33646
Error Message Parameter = Breaking Point | Counts = 0.33542
Error Message Parameter = Breaking Point of Blocker / Critical / High Issues | Counts = 0.625
Error Message Parameter = # Lines of Code | Counts = 0.62083
Error Message Parameter = # Lines of Code (JustMyCode) | Counts = 0.53833
Error Message Parameter = # Lines of Code (NotMyCode) | Counts = 0.44944
Error Message Parameter = # Lines of Code Added since the Baseline | Counts = 47
Error Message Parameter = # Source Files | Counts = 47
Error Message Parameter = # IL Instructions | Counts = 0
Error Message Parameter = # IL Instructions (NotMyCode) | Counts = 47
Error Message Parameter = # Lines of Comments | Counts = 1
Error Message Parameter = Percentage of Comments | Counts = 265
Error Message Parameter = # Assemblies | Counts = 8
Error Message Parameter = # Namespaces | Counts = 1
Error Message Parameter = # Types | Counts = 1
Error Message Parameter = # Public Types | Counts = 2
Error Message Parameter = # Classes | Counts = 0
Error Message Parameter = # Abstract Classes | Counts = 2
Error Message Parameter = # Interfaces | Counts = 0
Error Message Parameter = # Structures | Counts = 0
Error Message Parameter = # Methods | Counts = 0
Error Message Parameter = # Abstract Methods | Counts = 8
Error Message Parameter = # Concrete Methods | Counts = 0
Error Message Parameter = # Fields | Counts = 8
Error Message Parameter = Max # Lines of Code for Methods (JustMyCode) | Counts = 3
Error Message Parameter = Average # Lines of Code for Methods | Counts = 18
Error Message Parameter = Max # Lines of Code for Types (JustMyCode) | Counts = 7.83
Error Message Parameter = Average # Lines of Code for Types | Counts = 9.2
Error Message Parameter = Max Cyclomatic Complexity for Methods | Counts = 28
Error Message Parameter = Average Cyclomatic Complexity for Methods | Counts = 23.5
Error Message Parameter = Max IL Cyclomatic Complexity for Methods | Counts = 0
Error Message Parameter = Average IL Cyclomatic Complexity for Methods | Counts = 0
Error Message Parameter = Max IL Nesting Depth for Methods | Counts = 10
Error Message Parameter = Average IL Nesting Depth for Methods | Counts = 2.62
Error Message Parameter = Max # of Methods for Types | Counts = 3
Error Message Parameter = Average # Methods for Types | Counts = 0.625
Error Message Parameter = # Lines of Code Uncoverable | Counts = 5
Error Message Parameter = # Third-Party Assemblies Used | Counts = 4
Error Message Parameter = # Third-Party Namespaces Used | Counts = 0
Error Message Parameter = # Third-Party Types Used | Counts = 4
Error Message Parameter = # Third-Party Methods Used | Counts = 14
Error Message Parameter = # Third-Party Fields Used | Counts = 54
Error Message Parameter = # Rules Violations | Counts = 34
Error Message Parameter = # Critical Rules | Counts = 0
Error Message Parameter = # Critical Rules Violations | Counts = 34
Error Message Parameter = Average # Lines of Code for Methods with at least 3 Lines of Code | Counts = 21
